Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Stochastic Variable,2272470786,"""6917529382054273844""",,Legendary,Submachine Gun,legendaryengram,Energy,Arc,1320,,Handling,10,Hunter(1344),true,false,4,14,,100,52,15,49,0,0,46,900,48,36,55,0,0,0,,Lightweight Frame*,Chambered Compensator,Extended Barrel*,Extended Mag,Armor-Piercing Rounds,Flared Magwell*,Feeding Frenzy*,Multikill Clip*,Vanguard Marshal*,Minor Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Uzume RR4 (Adept),852228780,"""6917529417473233910""",,Legendary,Sniper Rifle,nightfall,Energy,Solar,1320,,Handling,3,Hunter(1344),true,false,4,14,,100,67,70,73,0,0,53,90,50,5,50,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Full Bore,Accurized Rounds*,Steady Rounds,Clown Cartridge*,Bottomless Grief,High-Impact Reserves*,Adept Mag*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Uzume RR4 (Adept),852228780,"""6917529417596382793""",,Legendary,Sniper Rifle,nightfall,Energy,Solar,1320,,Range,1,Hunter(1344),true,false,4,14,,100,67,70,65,0,0,58,90,60,4,60,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Fluted Barrel,Tactical Mag*,Extended Mag,Triple Tap*,Bottomless Grief,Dragonfly*,Minor Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Apostate,2164448701,"""6917529415733371185""",,Legendary,Sniper Rifle,moon,Energy,Arc,1310,,Stability,5,Hunter(1344),true,false,4,13,,49,73,55,42,0,0,56,140,65,7,82,0,0,0,,Rapid-Fire Frame*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,Steady Rounds,No Distractions*,Kill Clip*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Sleeper Simulant,4036115577,"""6917529094305660207""",,Exotic,Linear Fusion Rifle,,Power,Solar,1320,,Charge Time,10,Hunter(1344),true,false,1,3,,65,57,41,63,0,0,59,0,50,4,46,774,0,0,,Dornröschen*,Polygonal Rifling*,Flared Magwell*,Moving Target*,Composite Stock*,Sleeper Simulant Catalyst*,,,,,,,,,,
Black Talon,3766045777,"""6917529125939189752""",,Exotic,Sword,,Power,Void,1320,,,10,Hunter(1344),true,false,2,4,,0,0,61,0,0,0,0,0,0,62,0,0,0,0,,Crow's Wings*,Tempered Edge*,Heavy Guard*,Tireless Blade*,Tangled Paladin*,Tracker Disabled,Kill Tracker,Crucible Tracker*,Black Talon Catalyst*,,,,,,,
Quickfang,2782325300,"""6917529351509067745""",,Legendary,Sword,legendaryengram,Power,Void,1320,,Impact,10,Hunter(1344),true,false,4,14,,0,0,68,0,0,0,0,0,0,70,0,0,0,0,,Lightweight Frame*,Hungry Edge,Honed Edge,Jagged Edge*,Swordmaster's Guard*,Relentless Strikes*,One for All*,Carbon Blood*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Eyes of Tomorrow,2399110176,"""6917529394054418947""",,Exotic,Rocket Launcher,deepstonecrypt,Power,Solar,1320,,,,Hunter(1344),true,false,4,12,,100,68,0,0,75,61,84,20,78,1,54,0,0,0,,Eyes on All*,Smart Drift Control*,Alloy Casing*,Adaptive Ordnance*,Fitted Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Succession,2990047042,"""6917529394041603410""",,Legendary,Sniper Rifle,deepstonecrypt,Kinetic,Kinetic,1320,,Stability,10,Hunter(1344),true,true,4,12,,90,48,90,87,0,0,44,72,50,3,28,0,0,0,,Aggressive Frame*,Arrowhead Brake,Extended Barrel*,Accurized Rounds,Tactical Mag*,Reconstruction*,Vorpal Weapon*,Jacarina*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Salvager's Salvo,2060863616,"""6917529298428246978""",,Legendary,Grenade Launcher,gunsmith,Energy,Arc,1320,,Handling,10,Hunter(1344),true,true,4,13,,75,70,0,0,55,82,42,90,73,1,96,0,0,0,,Lightweight Frame*,Quick Launch*,Spike Grenades*,Ambitious Assassin,Demolitionist*,Vorpal Weapon*,Chain Reaction,Boss Spec*,Masterwork*,Pyretic*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Worldline Zero,1864563948,"""6917529093431403049""",,Exotic,Sword,,Power,Arc,1320,,,10,Hunter(1344),true,true,1,3,,0,0,61,0,0,0,0,0,0,62,0,0,0,0,,Tesseract*,Tempered Edge*,Infinite Guard*,Assassin's Blade*,Tireless Blade*,Timeline Zero*,Worldline Catalyst*,,,,,,,,,
Praedyth's Revenge,3653573172,"""6917529363822531243""",,Legendary,Sniper Rifle,vog,Kinetic,Kinetic,1320,,Handling,10,Titan(1344),true,false,4,14,,55,78,55,54,0,0,37,140,49,7,78,0,0,0,,Rapid-Fire Frame*,Fluted Barrel,Full Bore*,Extended Mag*,Steady Rounds,Rewind Rounds*,High-Impact Reserves*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Ignition Code,304659313,"""6917529362702214031""",,Legendary,Grenade Launcher,servitor,Kinetic,Kinetic,1320,,Reload Speed,10,Titan(1344),true,false,4,14,,75,71,0,0,5,88,26,90,77,1,68,0,0,0,,Lightweight Frame*,Hard Launch*,Quick Launch,Blinding Grenades*,Spike Grenades,Slideshot*,Danger Zone*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Extraordinary Rendition,1097616550,"""6917529342486413832""",,Legendary,Submachine Gun,battlegrounds,Kinetic,Kinetic,1320,,Range,10,Titan(1344),true,false,4,13,,97,34,22,57,0,0,26,750,43,28,73,0,0,0,,Aggressive Frame*,Arrowhead Brake,Fluted Barrel*,Steady Rounds,Flared Magwell*,Overflow*,Rampage*,Bloody Tooth*,Rampage Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Seventh Seraph Officer Revolver,3037520408,"""6917529337285407143""",,Legendary,Hand Cannon,rasputin,Kinetic,Kinetic,1320,,Handling,10,Titan(1344),true,false,3,10,,84,68,78,44,0,0,61,180,68,11,46,0,0,0,,Precision Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Extended Mag,Flared Magwell*,Ambitious Assassin*,Timed Payload*,Jacarina*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Chroma Rush,1119734784,"""6917529367255184296""",,Legendary,Auto Rifle,servitor,Kinetic,Kinetic,1320,,Handling,10,Titan(1344),true,false,4,14,,45,80,18,42,0,0,65,720,66,51,50,0,0,0,,Rapid-Fire Frame*,Hammer-Forged Rifling*,Smallbore,Extended Mag,Flared Magwell*,Subsistence*,Rampage*,Rampage Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Truthteller,1946491241,"""6917529382103503442""",,Legendary,Grenade Launcher,legendaryengram,Energy,Void,1320,,Velocity,10,Titan(1344),true,false,3,11,,70,79,0,0,5,95,26,90,74,1,86,0,0,0,,Lightweight Frame*,Confined Launch,Quick Launch*,Blinding Grenades*,Proximity Grenades,Auto-Loading Holster*,Demolitionist*,Bloody Tooth*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Ruinous Effigy,1363238943,"""6917529405847144942""",,Exotic,Trace Rifle,,Energy,Void,1320,,,10,Titan(1344),true,false,3,11,,96,84,8,50,0,0,80,1000,40,94,58,0,0,0,,Transmutation*,Hammer-Forged Rifling*,Particle Repeater*,Evolution*,Composite Stock*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Ruinous Effigy Catalyst*,,,,,,,
Trustee,1392919471,"""6917529418198988250""",,Legendary,Scout Rifle,deepstonecrypt,Energy,Solar,1310,,Handling,2,Titan(1344),true,false,4,12,,89,67,45,42,0,0,53,260,47,18,48,0,0,0,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Tactical Mag*,Steady Rounds,Reconstruction*,High-Impact Reserves*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Posterity,3281285075,"""6917529212201801008""",,Legendary,Hand Cannon,deepstonecrypt,Energy,Arc,1320,,Reload Speed,10,Titan(1344),true,false,4,12,,100,79,78,45,0,0,64,180,70,16,51,0,0,0,,Precision Frame*,Arrowhead Brake*,Polygonal Rifling,Appended Mag*,Tactical Mag,Reconstruction*,One for All*,Bloody Tooth*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Vouchsafe,3242168339,"""6917529400691822090""",,Legendary,Scout Rifle,dreaming,Energy,Void,1320,,Range,10,Titan(1344),true,false,4,13,,57,73,60,58,0,0,43,200,68,17,58,0,0,0,,Lightweight Frame*,Extended Barrel*,Polygonal Rifling,Tactical Mag*,Alloy Magazine,Outlaw*,Explosive Payload*,Jacarina*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Crown-Splitter,2782325302,"""6917529351751344896""",,Legendary,Sword,legendaryengram,Power,Void,1320,,Impact,10,Titan(1344),true,false,4,14,,0,0,80,0,0,0,0,0,0,42,0,0,0,0,,Aggressive Frame*,Hungry Edge,Jagged Edge*,Tempered Edge,Heavy Guard*,Relentless Strikes*,Whirlwind Blade*,Carbon Blood*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Commemoration,4230965989,"""6917529418198986120""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1320,,Handling,2,Titan(1344),true,false,4,12,,90,64,41,71,0,0,60,450,37,73,39,0,0,0,,Adaptive Frame*,Arrowhead Brake,Extended Barrel*,Accurized Rounds,Extended Mag*,Feeding Frenzy*,Dragonfly*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
The Wardcliff Coil,1508896098,"""6917529093937531578""",,Exotic,Rocket Launcher,,Power,Arc,1320,,,10,Titan(1344),true,false,1,1,,60,80,0,0,62,96,60,60,37,1,82,0,0,0,,Mad Scientist*,Volatile Launch*,Extended Mag*,Mechanized Autoloader*,Composite Stock*,Wardcliff Coil Catalyst*,,,,,,,,,,
Commemoration,4230965989,"""6917529403271461852""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1320,,Handling,10,Titan(1344),true,false,4,12,,90,64,41,71,0,0,64,450,68,59,44,0,0,0,,Adaptive Frame*,Extended Barrel*,Polygonal Rifling,Tactical Mag,Flared Magwell*,Feeding Frenzy*,Rampage*,Bloody Tooth*,Rampage Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
The Lament,3487253372,"""6917529210133728745""",,Exotic,Sword,europa,Power,Solar,1320,,,,Titan(1344),true,false,4,12,,0,0,78,0,0,0,0,0,0,58,0,0,0,0,,Banshee's Wail*,Jagged Edge*,Enduring Guard*,Tireless Blade*,Revved Consumption*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Night Watch,3504336176,"""6917529382111481730""",,Legendary,Scout Rifle,gambitprime,Kinetic,Kinetic,1320,,Handling,10,Titan(1344),true,true,3,11,,57,69,60,50,0,0,48,200,62,18,78,0,0,0,,Lightweight Frame*,Arrowhead Brake,Smallbore*,Drop Mag,Appended Mag*,Rapid Hit*,Explosive Payload*,Butterbark*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Insomnia*,,
Empty Vessel,4255586669,"""6917529351339002386""",,Legendary,Grenade Launcher,strikes,Energy,Solar,1320,,Reload Speed,10,Titan(1344),true,true,4,14,,76,73,0,0,5,79,36,90,78,1,68,0,0,0,,Lightweight Frame*,Volatile Launch,Linear Compensator*,Blinding Grenades*,Spike Grenades,Lead from Gold*,Vorpal Weapon*,Carbon Blood*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Anarchy,2376481550,"""6917529133173389061""",,Exotic,Grenade Launcher,dcv,Power,Arc,1320,,,,Titan(1344),true,true,2,5,,50,69,0,0,40,100,68,150,76,6,81,0,0,0,,Arc Traps*,Quick Launch*,High-Velocity Rounds*,Moving Target*,Composite Stock*,Uniocracy*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,
The Supremacy,686951703,"""6917529391371152288""",,Legendary,Sniper Rifle,lastwish,Kinetic,Kinetic,1320,,Range,10,Warlock(1344),true,false,2,4,,60,77,55,61,0,0,35,140,48,7,67,0,0,0,,Rapid-Fire Frame*,Chambered Compensator,Fluted Barrel,Full Bore*,Extended Mag*,High-Caliber Rounds,Ambitious Assassin*,Triple Tap*,Goldleaf*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Succession,2990047042,"""6917529412419649983""",,Legendary,Sniper Rifle,deepstonecrypt,Kinetic,Kinetic,1320,,Range,10,Warlock(1344),true,false,4,12,,80,48,90,100,0,0,26,72,50,3,32,0,0,0,,Aggressive Frame*,Full Bore*,Polygonal Rifling,Tactical Mag*,Alloy Magazine,Reconstruction*,Recombination*,Jacarina*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Heritage,4248569242,"""6917529212195342161""",,Legendary,Shotgun,deepstonecrypt,Kinetic,Kinetic,1320,,Reload Speed,10,Warlock(1344),true,false,4,12,,70,68,70,80,0,0,62,70,60,6,64,0,0,0,,Precision Frame*,Extended Barrel*,Full Bore,Assault Mag*,Light Mag,Auto-Loading Holster*,Recombination*,Jacarina*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Izanagi's Burden,3211806999,"""6917529094144452922""",,Exotic,Sniper Rifle,blackarmory,Kinetic,Kinetic,1320,,,10,Warlock(1344),true,false,2,5,,83,62,70,62,0,0,60,90,46,4,52,0,0,0,,Honed Edge*,Chambered Compensator*,Accurized Rounds*,No Distractions*,Composite Stock*,Worldshaper*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Izanagi's Burden Catalyst*,,,,,,
Witherhoard,2357297366,"""6917529195380352460""",,Exotic,Grenade Launcher,seasonpass,Kinetic,Kinetic,1320,,Handling,10,Warlock(1344),true,false,3,11,,100,84,0,0,8,21,71,90,40,6,100,0,0,0,,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Drowned in Strife*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Witherhoard Catalyst*,,,,,,
Shadow Price (Adept),2147010335,"""6917529348826603419""",,Legendary,Auto Rifle,nightfall,Energy,Arc,1320,,"Stability, Range, Handling, Reload Speed, Blast Radius, Velocity, Accuracy",10,Warlock(1344),true,false,4,13,,89,43,29,78,0,0,60,450,55,37,42,0,0,0,,Precision Frame*,Extended Barrel*,Polygonal Rifling,Appended Mag*,Extended Mag,Overflow*,One for All*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Vision of Confluence,3186018373,"""6917529373758131504""",,Legendary,Scout Rifle,vog,Energy,Solar,1320,,Handling,10,Warlock(1344),true,false,4,14,,85,65,62,51,0,0,57,180,52,18,55,0,0,0,,Precision Frame*,Chambered Compensator*,Fluted Barrel,Alloy Magazine,Appended Mag*,Rewind Rounds*,Frenzy*,Minor Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
Gnawing Hunger,821154603,"""6917529199225471946""",,Legendary,Auto Rifle,gambitprime,Energy,Void,1320,,Handling,10,Warlock(1344),true,false,3,11,,84,65,21,53,0,0,49,600,61,48,85,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Appended Mag*,Overflow*,Rampage*,Bloody Tooth*,Rampage Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,,
"First In, Last Out",3616586446,"""6917529202851317799""",,Legendary,Shotgun,contact,Energy,Arc,1320,,Stability,10,Warlock(1344),true,false,3,11,,58,27,70,71,0,0,68,70,50,6,64,0,0,0,,Precision Frame*,Chambered Compensator,Hammer-Forged Rifling*,Assault Mag*,Accurized Rounds,Auto-Loading Holster*,Opening Shot,Vorpal Weapon*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
IKELOS_SR_v1.0.2,1253087083,"""6917529202082430361""",,Legendary,Sniper Rifle,contact,Energy,Solar,1320,,Reload Speed,10,Warlock(1344),true,false,3,11,,67,73,55,37,0,0,59,140,79,7,66,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Full Bore,Seraph Rounds,Tactical Mag*,Fourth Time's the Charm*,Disruption Break,High-Impact Reserves*,Jacarina*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Eternity's Edge,2782325301,"""6917529367151039883""",,Legendary,Sword,legendaryengram,Power,Solar,1320,,Impact,10,Warlock(1344),true,false,4,14,,0,0,68,0,0,0,0,0,0,58,0,0,0,0,,Vortex Frame*,Honed Edge,Jagged Edge*,Tempered Edge,Infinite Guard*,Relentless Strikes*,Assassin's Blade*,Carbon Blood*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Deathbringer,2232171099,"""6917529351273979725""",,Exotic,Rocket Launcher,,Power,Void,1320,,,10,Warlock(1344),true,false,3,8,,58,72,0,0,100,42,58,15,67,1,69,0,0,0,,Dark Deliverance*,Volatile Launch*,Alloy Casing*,Dark Descent*,Composite Stock*,Peacebringer*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Deathbringer Catalyst*,,,,,,
Royal Entry,2448907086,"""6917529337697447725""",,Legendary,Rocket Launcher,strikes,Power,Void,1320,,Velocity,10,Warlock(1344),true,false,4,13,,90,65,0,0,90,60,72,15,36,1,57,0,0,0,,Precision Frame*,Confined Launch,Smart Drift Control*,Alloy Casing,Impact Casing*,Auto-Loading Holster*,Lasting Impression*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Falling Guillotine,614426548,"""6917529197364930002""",,Legendary,Sword,seasonpass,Power,Void,1320,,Impact,10,Warlock(1344),true,false,3,11,,0,0,68,0,0,0,0,0,0,56,0,0,0,0,,Vortex Frame*,Honed Edge,Jagged Edge*,Tempered Edge,Balanced Guard,Swordmaster's Guard*,Relentless Strikes*,Surrounded,Whirlwind Blade*,Amethyst Veil*,Boss Spec*,Masterwork*,Riptide*,Tracker Disabled,Kill Tracker*,Crucible Tracker
Ignition Code,304659313,"""6917529351521283381""",,Legendary,Grenade Launcher,servitor,Kinetic,Kinetic,1320,,Velocity,10,Warlock(1344),true,true,4,14,,75,71,0,0,5,97,26,90,68,1,68,0,0,0,,Lightweight Frame*,Hard Launch*,Quick Launch,Blinding Grenades*,Spike Grenades,Lead from Gold*,Vorpal Weapon*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,
IKELOS_SMG_v1.0.2,2222560548,"""6917529197486640942""",,Legendary,Submachine Gun,contact,Energy,Arc,1320,,Range,10,Warlock(1344),true,true,3,11,,100,42,22,72,0,0,43,750,45,30,64,0,0,0,,Aggressive Frame*,Chambered Compensator,Extended Barrel*,Appended Mag,Flared Magwell*,Threat Detector*,Disruption Break,Surrounded*,Surrounded Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Xenophage,1395261499,"""6917529127079247457""",,Exotic,Machine Gun,,Power,Solar,1320,,,,Warlock(1344),true,true,3,8,,85,33,100,89,0,0,34,120,38,20,37,0,0,0,,Pyrotoxin Rounds*,Full Bore*,High-Caliber Rounds*,Rangefinder*,Composite Stock*,Glee Barrage*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,
The Summoner,1907698332,"""6917529205530401816""",,Legendary,Auto Rifle,trials,Energy,Solar,1212,,Range,2,Vault,true,false,3,10,,57,62,21,57,0,0,60,600,60,42,78,0,0,0,,Adaptive Frame*,Corkscrew Rifling*,Polygonal Rifling,Appended Mag,Ricochet Rounds*,Moving Target*,Rampage*,Rampage Spec*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Hawkmoon,3856705927,"""6917529254456957526""",,Exotic,Hand Cannon,dungeon,Kinetic,Kinetic,1260,,Magazine,10,Vault,true,false,4,12,,100,93,78,57,0,0,76,140,63,9,74,0,0,0,,Paracausal Shot*,Polygonal Rifling*,Alloy Magazine*,Opening Shot*,Combat Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Hawkmoon Catalyst*,,,,,,,
Hailing Confusion,2870169846,"""6917529210412686646""",,Legendary,Pulse Rifle,europa,Kinetic,Kinetic,1252,,Range,4,Vault,true,false,4,12,,82,62,29,51,0,0,57,390,48,36,56,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Chambered Compensator,Armor-Piercing Rounds*,High-Caliber Rounds,Outlaw*,Wellspring*,Bloody Tooth*,Minor Spec*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Biting Winds,1621657423,"""6917529210145297699""",,Legendary,Combat Bow,campaign,Kinetic,Kinetic,1249,,Handling,1,Vault,true,false,4,12,,63,66,76,0,0,0,67,0,46,0,55,0,684,81,,Precision Frame*,Tactile String*,Elastic String,Carbon Arrow Shaft*,Compact Arrow Shaft,Moving Target*,Explosive Head*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Tatara Gaze,1449922174,"""6917529124867550593""",,Legendary,Sniper Rifle,blackarmory,Energy,Arc,1100,1060,Handling,10,Vault,true,false,2,5,,79,45,90,87,0,0,26,72,55,3,38,0,0,0,,Aggressive Frame*,Chambered Compensator,Full Bore*,Tactical Mag,Flared Magwell*,Snapshot Sights*,Kill Clip*,Amethyst Veil*,Major Spec*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,Base Radiance*,,
Deafening Whisper,981718087,"""6917529230305736660""",,Legendary,Grenade Launcher,wrathborn,Energy,Void,1250,,Reload Speed,1,Vault,true,false,4,12,,81,63,0,0,52,90,35,72,83,1,75,0,0,0,,Wave Frame*,Confined Launch,Hard Launch*,High-Velocity Rounds*,Implosion Rounds,Ambitious Assassin*,Rampage*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
